iter	Passed	Remaining
237	2990	9573
238	3002	9560
239	3015	9547
240	3027	9534
241	3039	9521
242	3052	9509
243	3065	9499
244	3078	9487
245	3092	9477
246	3105	9466
247	3118	9455
248	3133	9449
249	3145	9436
250	3158	9426
251	3171	9413
252	3183	9400
253	3197	9389
254	3209	9378
255	3223	9367
256	3236	9356
257	3250	9347
258	3263	9337
259	3276	9325
260	3289	9313
261	3301	9300
262	3315	9289
263	3327	9277
264	3341	9267
265	3354	9257
266	3367	9245
267	3380	9232
268	3393	9220
269	3406	9209
270	3419	9198
271	3432	9186
272	3444	9173
273	3456	9159
274	3469	9147
275	3482	9135
276	3495	9122
277	3507	9109
278	3520	9098
279	3533	9086
280	3549	9081
281	3561	9067
282	3574	9055
283	3586	9042
284	3599	9030
285	3611	9017
286	3625	9005
287	3637	8993
288	3650	8980
289	3662	8966
290	3675	8954
291	3687	8940
292	3700	8928
293	3712	8914
294	3724	8901
295	3738	8890
296	3753	8883
297	3766	8872
298	3779	8860
299	3791	8847
300	3805	8836
301	3817	8822
302	3830	8810
303	3842	8796
304	3854	8783
305	3867	8770
306	3879	8757
307	3892	8745
308	3905	8732
309	3917	8720
310	3930	8708
311	3943	8695
312	3957	8685
313	3969	8673
314	3982	8660
315	3995	8648
316	4008	8636
317	4021	8624
318	4033	8610
319	4046	8597
320	4058	8585
321	4071	8573
322	4084	8561
323	4096	8547
324	4109	8534
325	4121	8521
326	4134	8509
327	4147	8496
328	4161	8488
329	4174	8476
330	4187	8463
331	4200	8451
332	4212	8438
333	4226	8426
334	4239	8414
335	4251	8402
336	4264	8390
337	4277	8377
338	4289	8364
339	4302	8352
340	4315	8340
341	4328	8327
342	4340	8314
343	4353	8302
344	4367	8292
345	4380	8280
346	4393	8268
347	4406	8256
348	4419	8243
349	4431	8230
350	4445	8219
351	4457	8206
352	4470	8193
353	4483	8181
354	4495	8168
355	4508	8155
356	4520	8141
357	4533	8130
358	4546	8117
359	4559	8105
360	4572	8094
361	4585	8081
362	4598	8069
363	4611	8056
364	4623	8043
365	4636	8030
366	4648	8018
367	4661	8005
368	4674	7992
369	4686	7980
370	4699	7966
371	4711	7953
372	4723	7940
373	4736	7928
374	4749	7915
375	4762	7904
376	4776	7893
377	4789	7881
378	4802	7869
379	4815	7857
380	4828	7845
381	4841	7832
382	4854	7820
383	4867	7807
384	4879	7795
385	4893	7783
386	4905	7770
387	4918	7757
388	4930	7744
389	4943	7732
390	4956	7720
391	4969	7707
392	4983	7696
393	4995	7683
394	5008	7671
395	5021	7658
396	5034	7646
397	5047	7634
398	5059	7621
399	5072	7608
400	5084	7595
401	5097	7582
402	5109	7569
403	5121	7556
404	5134	7542
405	5146	7529
406	5159	7516
407	5172	7504
